ド～ン！とまるごと吹奏楽,豊橋球場内特設ステージ,0,34.770091,137.397156,見る,"毎年大好評の吹奏楽コンサートがついにメインステージにやってくる！若さあふれる演奏で元気・勇気・感動をお届けします♪

オープニング合同演奏では、 2020年春に放送開始予定の連続テレビ小説「エール」のモデルとなった、福島市出身の作曲家 古関裕而さんとその作曲活動を支えた豊橋市出身の妻、古関金子さんのご長男、古関正裕さんが特別に指揮を執ってくださいます。",2019-10-20 10:30:00,2019-10-20 14:30:00,https://toyohashimatsuri.jp/images/stage/donmaru.png
ええじゃないかお笑いライブ,豊橋球場内特設ステージ,0,34.770091,137.397156,見る,"ダンディ坂野

1996年ダンディ坂野として活 動開始。ハリウッド仕込みの（？）、粋なジョ ークと「ゲッツ！！」のフレーズを巧みに使い、2003年に大ブレイクする。鮮やかなタキシードと個性的なキャラクターで親しまれている。",2019-10-20 12:30:00,2019-10-20 15:00:00,https://toyohashimatsuri.jp/images/stage/gets.png
フィナーレ,豊橋球場内特設ステージ,0,34.770091,137.397156,見る,"令和最初の「ええじゃないか豊橋まつり」のフィナーレは、舞踊三昧入賞者パフォーマンス、舞らんファイナル、総おどりファイナルと、会場にいるすべての人が主役となり盛り上げます！また、映画「早咲きの花」の音楽監督吉村龍太さんのシンセサイザーとエンディングを歌った伊藤一義さんも登場します。

◆ええじゃないか舞踊三昧入賞者パフォーマンス
◆ええじゃないか舞らん行列
　◎舞らんファイナル　◎総おどりファイナル
◆フィナーレ",2019-10-20 15:30:00,2019-10-20 18:30:00,https://toyohashimatsuri.jp/images/stage/hayasaki.jpg
NTP名古屋トヨペット車両展示イベント※,豊橋球場内,0,34.769488,137.396608,見る,人に「素敵」をお届けする名古屋トヨペットのブースに、人気のクルマが集合！お気軽にこ黄ください。※展示車・ポディカラーが写真と異なる場合があります。,2019-10-20 10:00:00,2019-10-20 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d9168e04fbdc.jpg
肉フェス※,豊橋球場内,0,34.769174,137.397033,体験,お肉を使った料理が楽しめます♪,2019-10-20 9:00:00,2019-10-20 17:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d943a9a6940a.png
観光物産博覧会※,豊橋球場周辺・芝生ひろば周辺,0,34.770175,137.395728,体験,"豊橋をはじめとする東三河や周辺各地の名産品やグルメが大集合！

食べて、遊んで、買って、お腹も心もいっぱいになること間違いなし。お買い得な品を手に入れよう。",2019-10-20 9:30:00,2019-10-20 17:00:00,https://toyohashimatsuri.jp/images/hakurankai/kouenmap.png
農産物博覧会※,豊橋球場周辺・芝生ひろば周辺,0,34.771087,137.397397,購入,"豊橋をはじめとする東三河や周辺各地の名産品やグルメが大集合！
食べて、遊んで、買って、お腹も心もいっぱいになること間違いなし。お買い得な品を手に入れよう。",2019-10-20 9:30:00,2019-10-20 16:00:00,https://toyohashimatsuri.jp/images/hakurankai/kouenmap.png
ちびっこ木工工作広場※,芝生ひろば,0,34.770448,137.396146,体験,子どもたちを対象に木材を使って自由に工作ができます。,2019-10-20 10:00:00,2019-10-20 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915329752e5.jpg
凧作り教室※,芝生ひろば,400,34.77069,137.396366,体験,"子ども用の小凧を、保存会会員の指導で作ります。また、完成後は凧の揚げ方の指導も行います。
◎材料費/400円",2019-10-20 10:00:00,2019-10-20 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915354e9161.jpg
あそびの広場※,芝生ひろば,0,34.770408,137.395905,広場,"●ディスクゴルフ
●ペタンク
●グラウンドゴルフ
●輪投げ
●魚釣り遊び
●けん玉
●コマ等の
体験ができます。",2019-10-20 10:00:00,2019-10-20 15:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915c3f9b892.jpg
MTBピオンピオントライアル大会,芝生ひろば,1500,34.770959,137.395519,体験,"マウンテンバイクを使って、いくつかのセクションを巡ります。
足をなるべく地面につけす、クリアを目指せl
◎参加費/1,500円～（保険料含む）
※自転車の貸し出しはありません",2019-10-20 8:00:00,2019-10-20 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d91699bc76fc.jpg
自衛隊ふれあい広場※,芝生ひろば東側,0,34.770902,137.396978,見る,"●バネル展示
●募集広報
●自衛隊塗り絵
●自衛隊憩いの広場",2019-10-20 10:00:00,2019-10-20 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d9158044fbbe.jpg
吉田城 金色の御城印販売※,美術博物館,300,34.769281,137.39478,購入,"豊橋まつりの2日間限定で、金文字の御城印を販売します。（限定500枚）
◎1枚/300円",2019-10-20 9:00:00,2019-10-20 17:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915b6495678.jpg
わくわく縄文＆弥生体験※,美術博物館前,500,34.769096,137.395067,体験,"豊橋まつりで古代体験。
勾玉やミニ土偶を作ることができます。（随時受付）
◎材料費/500円",2019-10-20 9:00:00,2019-10-20 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d91589ec9142.jpg
職人さんとのふれあい広場※,美術博物館駐車場,300,34.768524,137.395299,体験,"●大工さんとのふれあい丸太切り体験、カンナ削り体験、ネームポード•本立て・ベンチ作製
●左官職人さんとのふれあいどろだんこ作成、壁塗り体験、型抜き体験
◎材料費/300～800円",2019-10-20 10:00:00,2019-10-20 15:30:00,https://toyohashimatsuri.jp/uploadimg/t_5d916794d36ff.jpg
親子ものづくり体験教室PartXIV※,美術博物館駐車場,500,34.768524,137.395299,体験,"●親子でものづくりに挑戦！！
●第10回東三河職業訓練展の案内
●豊橋高等技術専門校訓練生の募集
◎材料費/500円",2019-10-20 10:00:00,2019-10-20 15:30:00,https://toyohashimatsuri.jp/uploadimg/t_5d9164ab76a3f.jpg
子ども造形パラダイス※／伸びゆく子どもたちの作品展※,美術博物館西側,0,34.768871,137.394356,見る,市内小中学校特別支援学級、特別支援学校の児童生徒の作品を展示します。また、市内中学校特別支援学級および障害福祉施設の製品の販売も行います。,2019-10-20 9:00:00,2019-10-20 16:30:00,https://toyohashimatsuri.jp/uploadimg/t_5d92c3861524a.png
アーチェリ一体験,弓道場 遠的場,0,34.7712396,137.3972226,体験,5m先に的を置き当てるアーチェリー体験ができます。,2019-10-20 10:00:00,2019-10-20 15:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915cb68819f.jpg
